ID,top_dynasty,top_style,top_color,top_pattern,bottom_dynasty,bottom_style,bottom_color,bottom_pattern,compatible
1,唐,齐胸衫,赤,牡丹,唐,褶裙,白,云纹,1
2,唐,齐胸衫,粉,缠枝莲,唐,破裙,米白,卷草纹,1
3,唐,齐腰衫,青,云纹,唐,间色裙,绿,忍冬纹,1
4,宋,褙子,白,梅花,宋,马面裙,蓝,冰梅纹,1
5,宋,褙子,灰,兰草,宋,褶裙,青,竹纹,1
6,宋,袄,米白,菊花,宋,破裙,浅蓝,菊纹,1
7,明,袄,红,凤凰,明,马面裙,黑,祥云纹,1
8,明,衫,白,缠枝莲,明,褶裙,绿,莲纹,1
9,明,比甲,粉,牡丹,明,马面裙,紫,凤纹,1
10,魏晋,直裾,白,云纹,魏晋,裙,浅灰,卷草纹,1
11,唐,齐胸衫,绿,凤凰,宋,破裙,蓝,云纹,1
12,唐,齐腰衫,蓝,缠枝莲,宋,褙子,白,梅纹,1
13,宋,褙子,青,竹纹,明,衫,白,兰草,1
14,宋,袄,米黄,菊花,明,马面裙,灰,菊纹,1
15,唐,齐胸衫,朱红,云纹,宋,褶裙,浅青,卷草纹,1
16,唐,齐胸衫,鹅黄,牡丹,宋,破裙,浅粉,莲纹,1
17,宋,褙子,月白,梅花,明,袄,浅红,凤纹,1
18,宋,衫,浅绿,兰草,明,马面裙,深灰,云纹,1
19,唐,齐腰衫,浅蓝,缠枝莲,宋,褶裙,米白,忍冬纹,1
20,明,袄,深红,凤凰,宋,褙子,白,竹纹,1
21,唐,齐胸衫,赤,牡丹,唐,褶裙,白,云纹,1
22,唐,齐胸衫,粉,缠枝莲,唐,破裙,米白,卷草纹,1
23,宋,褙子,白,梅花,宋,马面裙,蓝,冰梅纹,1
24,宋,袄,米白,菊花,宋,破裙,浅蓝,菊纹,1
25,明,袄,红,凤凰,明,马面裙,黑,祥云纹,1
26,明,衫,白,缠枝莲,明,褶裙,绿,莲纹,1
27,唐,齐胸衫,绿,凤凰,宋,破裙,蓝,云纹,1
28,宋,褙子,青,竹纹,明,衫,白,兰草,1
29,唐,齐腰衫,浅蓝,缠枝莲,宋,褶裙,米白,忍冬纹,1
30,魏晋,直裾,白,云纹,魏晋,裙,浅灰,卷草纹,1
31,魏晋,直裾,白,云纹,明,马面裙,红,牡丹,0
32,唐,袄,金,牡丹,明,褶裙,青,梅花,0
33,魏晋,衫,浅灰,卷草纹,宋,马面裙,蓝,凤纹,0
34,唐,齐胸衫,赤,牡丹,明,马面裙,黑,梅花,0
35,魏晋,直裾,白,云纹,唐,褶裙,粉,缠枝莲,0
36,唐,齐胸衫,绿,凤凰,明,袄,红,梅花,0
37,魏晋,衫,浅灰,卷草纹,明,马面裙,紫,牡丹,0
38,唐,袄,金,牡丹,魏晋,裙,浅灰,云纹,0
39,宋,褙子,白,梅花,魏晋,直裾,白,卷草纹,0
40,明,袄,红,凤凰,魏晋,衫,浅灰,兰草,0
41,唐,齐胸衫,赤,牡丹,明,褶裙,青,寒梅,0
42,唐,齐胸衫,粉,牡丹,明,马面裙,黑,寒梅,0
43,宋,褙子,白,寒梅,唐,齐胸衫,赤,牡丹,0
44,魏晋,直裾,白,云纹,明,衫,白,牡丹,0
45,唐,齐腰衫,蓝,缠枝莲,明,马面裙,黑,寒梅,0
46,魏晋,直裾,白,云纹,宋,袄,米白,菊花,0
47,唐,袄,金,凤凰,魏晋,裙,浅灰,卷草纹,0
48,宋,褙子,青,竹纹,魏晋,衫,浅灰,云纹,0
49,明,袄,红,牡丹,魏晋,直裾,白,寒梅,0
50,唐,齐胸衫,绿,凤凰,魏晋,裙,浅灰,兰草,0
51,唐,齐胸衫,赤,牡丹,唐,褶裙,白,云纹,1
52,宋,褙子,白,梅花,宋,马面裙,蓝,冰梅纹,1
53,明,袄,红,凤凰,明,马面裙,黑,祥云纹,1
54,唐,齐胸衫,绿,凤凰,宋,破裙,蓝,云纹,1
55,宋,褙子,青,竹纹,明,衫,白,兰草,1
56,唐,齐腰衫,浅蓝,缠枝莲,宋,褶裙,米白,忍冬纹,1
57,魏晋,直裾,白,云纹,魏晋,裙,浅灰,卷草纹,1
58,唐,齐胸衫,朱红,云纹,宋,褶裙,浅青,卷草纹,1
59,宋,袄,米黄,菊花,明,马面裙,灰,菊纹,1
60,明,比甲,粉,牡丹,明,马面裙,紫,凤纹,1
61,魏晋,直裾,白,云纹,明,马面裙,红,牡丹,0
62,唐,袄,金,牡丹,明,褶裙,青,梅花,0
63,魏晋,衫,浅灰,卷草纹,宋,马面裙,蓝,凤纹,0
64,唐,齐胸衫,赤,牡丹,明,马面裙,黑,梅花,0
65,魏晋,直裾,白,云纹,唐,褶裙,粉,缠枝莲,0
66,唐,齐胸衫,绿,凤凰,明,袄,红,梅花,0
67,魏晋,衫,浅灰,卷草纹,明,马面裙,紫,牡丹,0
68,唐,袄,金,牡丹,魏晋,裙,浅灰,云纹,0
69,宋,褙子,白,梅花,魏晋,直裾,白,卷草纹,0
70,明,袄,红,凤凰,魏晋,衫,浅灰,兰草,0
71,唐,齐胸衫,赤,牡丹,明,褶裙,青,寒梅,0
72,唐,齐胸衫,粉,牡丹,明,马面裙,黑,寒梅,0
73,宋,褙子,白,寒梅,唐,齐胸衫,赤,牡丹,0
74,魏晋,直裾,白,云纹,明,衫,白,牡丹,0
75,唐,齐腰衫,蓝,缠枝莲,明,马面裙,黑,寒梅,0
76,魏晋,直裾,白,云纹,宋,袄,米白,菊花,0
77,唐,袄,金,凤凰,魏晋,裙,浅灰,卷草纹,0
78,宋,褙子,青,竹纹,魏晋,衫,浅灰,云纹,0
79,明,袄,红,牡丹,魏晋,直裾,白,寒梅,0
80,唐,齐胸衫,绿,凤凰,魏晋,裙,浅灰,兰草,0
